PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40107944,Optimizing Excited Charge Dynamics in Layered Halide Perovskites through Compositional Engineering.,2025 Mar 19,N/A,N/A,N/A
40107772,Choice of Machine Learning Models Is Important to Predict Post-Operative Infections in Surgical Patients.,2025 Mar 20,N/A,N/A,N/A
40107689,GPT for RCTs? Using AI to determine adherence to clinical trial reporting guidelines.,2025 Mar 18,N/A,N/A,N/A
40107679,Liberation from mechanical ventilation using Extubation Advisor Decision Support (LEADS): protocol for a multicentre pilot trial.,2025 Mar 18,N/A,N/A,N/A
40107629,Vascular and glymphatic dysfunction as drivers of cognitive impairment in Alzheimer's disease: Insights from computational approaches.,2025 Mar 17,N/A,N/A,N/A
40107599,Artificial intelligence models for periodontitis classification: A systematic review.,2025 Mar 17,N/A,N/A,N/A
40107550,Targeting mRNA export complex macromolecules THO subunits (Thoc2 and Thoc5) for somatic cell reprograming.,2025 Mar 17,N/A,N/A,N/A
40107526,Prediction of lncRNA-miRNA interaction based on sequence and structural information of potential binding site.,2025 Mar 17,N/A,N/A,N/A
40107411,Artificial intelligence in anti-obesity drug discovery: unlocking next-generation therapeutics.,2025 Mar 17,N/A,N/A,N/A
40107403,Comparison of the characteristics between machine learning and deep learning algorithms for ablation site classification in a novel cloud-based system.,2025 Mar 17,N/A,N/A,N/A
